Topic_id Q0 Docno Rank Similarity Run_id
1 Q0 AP881206-0124 1 0.29240408625839903 0
1 Q0 AP881021-0218 2 0.2802879644071948 0
1 Q0 AP881002-0014 3 0.2720482743132285 0
1 Q0 AP880420-0140 4 0.21977352650117507 0
1 Q0 AP881225-0044 5 0.21693304799770072 0
1 Q0 AP880229-0107 6 0.20059129588657618 0
1 Q0 AP880815-0061 7 0.196056776848616 0
1 Q0 AP881018-0003 8 0.19216812589168894 0
1 Q0 AP881108-0076 9 0.1894750014168701 0
1 Q0 AP881029-0064 10 0.18774761867607692 0
1 Q0 AP881006-0202 11 0.1828540294542555 0
1 Q0 AP881223-0053 12 0.18029958961988368 0
1 Q0 AP881114-0091 13 0.17823643809120415 0
1 Q0 AP881004-0180 14 0.17664037398656893 0
1 Q0 AP880822-0215 15 0.17434211192193108 0
1 Q0 AP881128-0234 16 0.17124689736573923 0
1 Q0 AP880720-0133 17 0.16851104745745443 0
1 Q0 AP880726-0173 18 0.1684662753956922 0
1 Q0 AP880220-0132 19 0.1673309895692505 0
1 Q0 AP880521-0003 20 0.1662594305021283 0
1 Q0 AP881109-0244 21 0.16434102427203362 0
1 Q0 AP881202-0169 22 0.1628735983875342 0
1 Q0 AP880502-0187 23 0.16218026352700912 0
1 Q0 AP881005-0001 24 0.1618863280264532 0
1 Q0 AP881130-0089 25 0.16121193331434763 0
1 Q0 AP881111-0186 26 0.1594776677391253 0
1 Q0 AP880630-0038 27 0.1590570178983283 0
1 Q0 AP880310-0051 28 0.15591667349581 0
1 Q0 AP880325-0144 29 0.15343251059140026 0
1 Q0 AP880814-0089 30 0.15173628907779615 0
1 Q0 AP880516-0251 31 0.1495614583007933 0
1 Q0 AP880825-0054 32 0.14933597831605394 0
1 Q0 AP880519-0231 33 0.14858245845983664 0
1 Q0 AP880608-0082 34 0.14838626769277746 0
1 Q0 AP880822-0114 35 0.14781401370502223 0
1 Q0 AP880620-0217 36 0.1474191389054547 0
1 Q0 AP880218-0049 37 0.14721804083219794 0
1 Q0 AP880719-0196 38 0.14432876249503568 0
1 Q0 AP881007-0130 39 0.14109297131268336 0
1 Q0 AP881225-0001 40 0.14034397938767731 0
1 Q0 AP880324-0249 41 0.13900102364510733 0
1 Q0 AP880926-0180 42 0.1375603356141273 0
1 Q0 AP880620-0059 43 0.1358954566263144 0
1 Q0 AP880628-0094 44 0.1356177460715248 0
1 Q0 AP880525-0010 45 0.13510105299298872 0
1 Q0 AP880318-0117 46 0.1328748280652844 0
1 Q0 AP880228-0064 47 0.1290087862766907 0
1 Q0 AP881224-0056 48 0.12667567415852735 0
1 Q0 AP881211-0022 49 0.126513208134878 0
1 Q0 AP880611-0042 50 0.1264266673819762 0
1 Q0 AP880711-0082 51 0.1263509618394663 0
1 Q0 AP880726-0019 52 0.125985179158168 0
1 Q0 AP881019-0127 53 0.1251836151615325 0
1 Q0 AP881015-0064 54 0.12465332196448496 0
1 Q0 AP881229-0136 55 0.12331773141891733 0
1 Q0 AP880920-0179 56 0.12303504208339264 0
1 Q0 AP881108-0058 57 0.12270913952615074 0
1 Q0 AP881027-0106 58 0.1224891256363556 0
1 Q0 AP881214-0158 59 0.12242437170225454 0
1 Q0 AP880326-0040 60 0.12239788418540623 0
1 Q0 AP880604-0158 61 0.12155113253385066 0
1 Q0 AP881121-0191 62 0.12129395592632136 0
1 Q0 AP880517-0073 63 0.12125121538687994 0
1 Q0 AP880830-0013 64 0.1212186211071322 0
1 Q0 AP880609-0145 65 0.12076183568576122 0
1 Q0 AP880407-0033 66 0.11955538660162279 0
1 Q0 AP881007-0122 67 0.11936585827700182 0
1 Q0 AP881223-0089 68 0.11870887884672415 0
1 Q0 AP880708-0210 69 0.11851967250302267 0
1 Q0 AP880816-0174 70 0.11839079826477049 0
1 Q0 AP881017-0231 71 0.1183400337667611 0
1 Q0 AP880520-0157 72 0.11815578252021383 0
1 Q0 AP880815-0252 73 0.11815306181642807 0
1 Q0 AP880603-0093 74 0.11806740410263011 0
1 Q0 AP881001-0057 75 0.11771758406513745 0
1 Q0 AP880525-0152 76 0.11739216008180324 0
1 Q0 AP881110-0069 77 0.11711127574799025 0
1 Q0 AP880921-0032 78 0.11676597716659633 0
1 Q0 AP880213-0052 79 0.11651789622455234 0
1 Q0 AP880607-0210 80 0.11648457693734311 0
1 Q0 AP880413-0021 81 0.11634633388016244 0
1 Q0 AP880418-0017 82 0.11623588053153502 0
1 Q0 AP880414-0081 83 0.11622108790245386 0
1 Q0 AP881104-0202 84 0.11604520664175352 0
1 Q0 AP881028-0079 85 0.11598368015606086 0
1 Q0 AP881214-0042 86 0.11507463318233768 0
1 Q0 AP881206-0196 87 0.11466641277739076 0
1 Q0 AP880607-0108 88 0.11461603849719372 0
1 Q0 AP881206-0170 89 0.11456466556918458 0
1 Q0 AP881227-0081 90 0.11439434742329999 0
1 Q0 AP881111-0182 91 0.11427426014270056 0
1 Q0 AP880927-0075 92 0.11425379688802953 0
1 Q0 AP880515-0009 93 0.11424869256827859 0
1 Q0 AP881027-0157 94 0.11384294178640299 0
1 Q0 AP880523-0173 95 0.1131433590526235 0
1 Q0 AP880401-0176 96 0.1126744066195628 0
1 Q0 AP880830-0145 97 0.11233420704424286 0
1 Q0 AP880218-0080 98 0.11179686379628165 0
1 Q0 AP880817-0012 99 0.11150035393161054 0
1 Q0 AP881206-0201 100 0.11146400719587432 0
1 Q0 AP880901-0131 101 0.11100297751857094 0
1 Q0 AP881207-0079 102 0.11059402194237636 0
1 Q0 AP881107-0058 103 0.11057769501537176 0
1 Q0 AP880706-0278 104 0.1101071660425983 0
1 Q0 AP880521-0044 105 0.10937078543021753 0
1 Q0 AP880827-0092 106 0.10926869894396364 0
1 Q0 AP880512-0114 107 0.10926591462458217 0
1 Q0 AP880802-0001 108 0.10914512725486163 0
1 Q0 AP880726-0043 109 0.10889810867876105 0
1 Q0 AP880516-0220 110 0.10889178765952481 0
1 Q0 AP880307-0191 111 0.10877181071249366 0
1 Q0 AP880802-0213 112 0.1087609234462548 0
1 Q0 AP880802-0038 113 0.10821418723168515 0
1 Q0 AP881117-0229 114 0.10769621176071562 0
1 Q0 AP880816-0248 115 0.1075780955824129 0
1 Q0 AP880520-0083 116 0.10705189364034734 0
1 Q0 AP881222-0109 117 0.10689462580095925 0
1 Q0 AP881007-0193 118 0.10650415394030459 0
1 Q0 AP880612-0044 119 0.10615555130372864 0
1 Q0 AP880228-0016 120 0.10589788278979839 0
1 Q0 AP881106-0057 121 0.10566218743927583 0
1 Q0 AP881029-0089 122 0.10562572482536767 0
1 Q0 AP881029-0088 123 0.10558651801792535 0
1 Q0 AP881017-0232 124 0.1054697967752964 0
1 Q0 AP880911-0003 125 0.10534143822014272 0
1 Q0 AP880421-0132 126 0.10504419164963517 0
1 Q0 AP880704-0017 127 0.1048445164298836 0
1 Q0 AP881221-0078 128 0.10413052415716414 0
1 Q0 AP880803-0012 129 0.10394923878460834 0
1 Q0 AP880505-0074 130 0.10388679856659226 0
1 Q0 AP880514-0176 131 0.10376044540331623 0
1 Q0 AP880518-0004 132 0.10376044540331623 0
1 Q0 AP880503-0097 133 0.10348001762631996 0
1 Q0 AP880620-0058 134 0.1032253943915904 0
1 Q0 AP881024-0036 135 0.10318434502010491 0
1 Q0 AP881105-0143 136 0.10279801700280382 0
1 Q0 AP881102-0233 137 0.10274579091862981 0
1 Q0 AP881225-0027 138 0.10252449024200944 0
1 Q0 AP880517-0184 139 0.10242601710737763 0
1 Q0 AP880316-0006 140 0.10234867084602847 0
1 Q0 AP880603-0048 141 0.10176027563113435 0
1 Q0 AP880216-0089 142 0.1016615126107946 0
1 Q0 AP880720-0212 143 0.10130200975316851 0
1 Q0 AP880507-0112 144 0.1011927309914965 0
1 Q0 AP880512-0192 145 0.10059995986088867 0
1 Q0 AP880825-0030 146 0.10027100031725229 0
1 Q0 AP880608-0110 147 0.10011748906296095 0
1 Q0 AP881214-0162 148 0.10007457565788132 0
1 Q0 AP880816-0193 149 0.09997659147334244 0
1 Q0 AP880822-0216 150 0.09944202933884701 0
1 Q0 AP880609-0221 151 0.0994007814050826 0
1 Q0 AP881224-0059 152 0.09935190948091545 0
1 Q0 AP880417-0088 153 0.09931822936673514 0
1 Q0 AP880517-0123 154 0.09885375136671451 0
1 Q0 AP880506-0045 155 0.09878511776455777 0
1 Q0 AP880716-0089 156 0.09877093553593343 0
1 Q0 AP881207-0166 157 0.09875690298807714 0
1 Q0 AP880824-0170 158 0.0986547073917507 0
1 Q0 AP880722-0101 159 0.09801786021736886 0
1 Q0 AP880510-0247 160 0.09780007631844757 0
1 Q0 AP880524-0071 161 0.09756094847038574 0
1 Q0 AP880504-0147 162 0.09690975698912571 0
1 Q0 AP880616-0139 163 0.09683250125860561 0
1 Q0 AP881227-0031 164 0.09681664287686309 0
1 Q0 AP880508-0056 165 0.09610764422212992 0
1 Q0 AP881129-0144 166 0.09594026026226518 0
1 Q0 AP880516-0036 167 0.09588640123153248 0
1 Q0 AP881028-0068 168 0.09575637413570962 0
1 Q0 AP880712-0161 169 0.09566649845153538 0
1 Q0 AP881024-0046 170 0.09529888271154735 0
1 Q0 AP880509-0080 171 0.09527120678761179 0
1 Q0 AP880822-0139 172 0.094931141934165 0
